[96m 
------------------------------- Warm-up Stage ------------------------------- [0m
4000 True 1.0
0 4000
[RL] Updates 44, num timesteps 90112, FPS 513, time 175.44 seconds rewards: 501.37385959863457 2182.769486015244 std: 5.636975794734669 7.651155821426521 tensor([0.2000, 0.8000])
[RL] Updates 45, num timesteps 92160, FPS 513, time 179.44 seconds rewards: 504.11740599623215 2204.5326737370765 std: 4.555643494860744 5.672982252084151 tensor([0.2000, 0.8000])
[96m 
------------------------------- Warm-up Stage ------------------------------- [0m
4000 True 1.0
0 4000
[RL] Updates 1, num timesteps 2048, FPS 346, time 5.91 seconds rewards: 24.580771248295754 88.04419157526641 std: 20.01056946280516 30.82575007133351 tensor([0.4000, 0.6000])
[RL] Updates 2, num timesteps 4096, FPS 413, time 9.90 seconds rewards: 28.56607516262148 99.29022359009419 std: 24.27705088791196 44.38294586189643 tensor([0.4000, 0.6000])
[RL] Updates 3, num timesteps 6144, FPS 444, time 13.83 seconds rewards: 69.15225689164436 195.41433571605745 std: 68.74065669160792 93.5765922366447 tensor([0.4000, 0.6000])
[RL] Updates 4, num timesteps 8192, FPS 459, time 17.82 seconds rewards: 67.49879719907884 200.08985834425343 std: 61.62713698209513 58.140025256396825 tensor([0.4000, 0.6000])
[RL] Updates 5, num timesteps 10240, FPS 471, time 21.74 seconds rewards: 168.48861380981765 277.5198735563521 std: 133.0730555214451 144.02490392748362 tensor([0.4000, 0.6000])
[RL] Updates 6, num timesteps 12288, FPS 478, time 25.67 seconds rewards: 184.75112564913232 342.7296766357041 std: 103.60919694247112 171.63687804053026 tensor([0.4000, 0.6000])
[RL] Updates 7, num timesteps 14336, FPS 483, time 29.62 seconds rewards: 287.8978345145837 483.9602928191836 std: 135.35879752399515 158.2769883223158 tensor([0.4000, 0.6000])
[RL] Updates 8, num timesteps 16384, FPS 489, time 33.49 seconds rewards: 268.3061976032258 376.83728076924376 std: 58.15682877812661 117.54527838273934 tensor([0.4000, 0.6000])
[RL] Updates 9, num timesteps 18432, FPS 492, time 37.45 seconds rewards: 290.3144612651797 353.1797374702363 std: 58.121261687125 105.78693754913027 tensor([0.4000, 0.6000])
[RL] Updates 10, num timesteps 20480, FPS 494, time 41.42 seconds rewards: 252.7902464386049 356.1210346668629 std: 52.09420079844611 63.91398749865559 tensor([0.4000, 0.6000])
[RL] Updates 11, num timesteps 22528, FPS 497, time 45.32 seconds rewards: 341.9834750593849 437.71436299715197 std: 77.05334652377057 147.1793882088908 tensor([0.4000, 0.6000])
[RL] Updates 12, num timesteps 24576, FPS 498, time 49.28 seconds rewards: 268.93514872350187 403.8895701864488 std: 98.7167284930057 72.56786233571721 tensor([0.4000, 0.6000])
[RL] Updates 13, num timesteps 26624, FPS 499, time 53.27 seconds rewards: 347.4980906551199 451.3438356266428 std: 82.36513699433654 163.0261811309034 tensor([0.4000, 0.6000])
[RL] Updates 14, num timesteps 28672, FPS 501, time 57.19 seconds rewards: 330.63277573102147 411.1842880419259 std: 51.64038330212213 67.52824463556846 tensor([0.4000, 0.6000])
[RL] Updates 15, num timesteps 30720, FPS 502, time 61.14 seconds rewards: 292.2754020390832 394.83094880522884 std: 72.57076928575884 62.968296852890994 tensor([0.4000, 0.6000])
